model,prompt_style,index,question,question_type,ground_truth,prediction,exact_match,normalized_match,first_number_numeric_match,final_answer_numeric_match,any_number_numeric_match,combined_conservative_accuracy,combined_relaxed_accuracy,multi_number,overlong_answer,repeated_fragment,average_answer_length_words,verbose,one_word,num_count,char_len
Base LLaVA,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,The color of the graph with 56 as the highest value is blue.,False,True,False,False,False,True,True,False,False,False,13,True,False,1,60
Base LLaVA,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2009,False,False,True,True,True,True,True,False,False,False,1,False,True,1,4
Base LLaVA,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,The blue line represents the percentage of foreign policy decisions made by the United States,False,False,False,False,False,False,False,False,True,False,15,True,False,0,93
Base LLaVA,normal,3,What is the max value of blue line?,numeric,0.72,"The max value of the blue line, which represents the percentage of foreign policy dec",False,False,False,False,False,False,False,False,True,False,15,True,False,0,85
Base LLaVA,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,"In 2016, 71% of respondents indicated that",False,False,False,False,False,False,False,False,False,False,7,True,False,2,42
Base LLaVA,short-answer,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,False,False,False,False,False,1,False,True,0,5
Base LLaVA,short-answer,1,In which year the difference between blue and green graph 1?,numeric,2018,2009,False,False,True,True,True,True,True,False,False,False,1,False,True,1,4
Base LLaVA,short-answer,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Foreign policy,False,False,False,False,False,False,False,False,False,False,2,False,False,0,14
Base LLaVA,short-answer,3,What is the max value of blue line?,numeric,0.72,70,False,False,False,False,False,False,False,False,False,False,1,False,True,1,2
Base LLaVA,short-answer,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,71,False,False,False,False,False,False,False,False,False,False,1,False,True,1,2
Original adapter q/v 1 epoch,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Blue,True,True,False,False,False,True,True,False,False,False,1,False,True,0,4
Original adapter q/v 1 epoch,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2005,False,False,True,True,True,True,True,False,False,False,1,False,True,1,4
Original adapter q/v 1 epoch,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,The blue line represents the value of the foreign policy.,False,False,False,False,False,False,False,False,False,False,10,True,False,0,57
Original adapter q/v 1 epoch,normal,3,What is the max value of blue line?,numeric,0.72,1.0,False,False,True,True,True,True,True,False,False,False,1,False,True,1,3
Original adapter q/v 1 epoch,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,57.3%,False,False,False,False,False,False,False,False,False,False,1,False,True,1,5
Original adapter q/v 1 epoch,short-answer,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Blue,True,True,False,False,False,True,True,False,False,False,1,False,True,0,4
Original adapter q/v 1 epoch,short-answer,1,In which year the difference between blue and green graph 1?,numeric,2018,2005,False,False,True,True,True,True,True,False,False,False,1,False,True,1,4
Original adapter q/v 1 epoch,short-answer,2,What does the blue line represent?,legend_or_label,Not too much/not at all,2007,False,False,False,False,False,False,False,False,False,False,1,False,True,1,4
Original adapter q/v 1 epoch,short-answer,3,What is the max value of blue line?,numeric,0.72,100,False,False,False,False,False,False,False,False,False,False,1,False,True,1,3
Original adapter q/v 1 epoch,short-answer,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,57,False,False,False,False,False,False,False,False,False,False,1,False,True,1,2
qv_clean_3epoch_train2000,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green ��������������,False,False,False,False,False,False,False,False,False,False,2,False,False,0,20
qv_clean_3epoch_train2000,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,"2014-2015, 2015",False,False,True,True,True,True,True,False,False,False,2,False,False,3,15
qv_clean_3epoch_train2000,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/Not at all (60+70) 1,False,True,False,False,False,True,True,False,False,False,7,True,False,3,33
qv_clean_3epoch_train2000,normal,3,What is the max value of blue line?,numeric,0.72,69.555555555555,False,False,False,False,False,False,False,False,False,True,1,False,True,1,15
qv_clean_3epoch_train2000,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,67.143945312500,False,False,True,True,True,True,True,False,False,True,1,False,True,1,15
qv_clean_3epoch_train2000,short-answer,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green 30+ years olds 30-49 years old,False,False,False,False,False,False,False,False,False,False,7,True,False,3,36
qv_clean_3epoch_train2000,short-answer,1,In which year the difference between blue and green graph 1?,numeric,2018,2014-2015-2016-,False,False,True,True,True,True,True,False,False,False,1,False,True,3,15
qv_clean_3epoch_train2000,short-answer,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/Not at all (Great deal/Fair amount),False,True,False,False,False,True,True,False,False,False,8,True,False,0,48
qv_clean_3epoch_train2000,short-answer,3,What is the max value of blue line?,numeric,0.72,70.566666666666,False,False,False,False,False,False,False,False,False,True,1,False,True,1,15
qv_clean_3epoch_train2000,short-answer,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,671438509172446,False,False,False,False,False,False,False,False,False,False,1,False,True,1,15
qkvo_clean_2epoch_train2000,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,False,False,False,False,False,1,False,True,0,5
qkvo_clean_2epoch_train2000,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2014,False,False,True,True,True,True,True,False,False,False,1,False,True,1,4
qkvo_clean_2epoch_train2000,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/not at all (Great deal/fair amount),False,True,False,False,False,True,True,False,False,False,8,True,False,0,48
qkvo_clean_2epoch_train2000,normal,3,What is the max value of blue line?,numeric,0.72,70.561538461538,False,False,False,False,False,False,False,False,False,True,1,False,True,1,15
qkvo_clean_2epoch_train2000,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,71.435882370976,False,False,False,False,False,False,False,False,False,True,1,False,True,1,15
qkvo_clean_2epoch_train2000,short-answer,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,False,False,False,False,False,1,False,True,0,5
qkvo_clean_2epoch_train2000,short-answer,1,In which year the difference between blue and green graph 1?,numeric,2018,2014-2015-2016-,False,False,True,True,True,True,True,False,False,False,1,False,True,3,15
qkvo_clean_2epoch_train2000,short-answer,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Not too much/not at all (Great deal/fair amount),False,True,False,False,False,True,True,False,False,False,8,True,False,0,48
qkvo_clean_2epoch_train2000,short-answer,3,What is the max value of blue line?,numeric,0.72,70.561538461538,False,False,False,False,False,False,False,False,False,True,1,False,True,1,15
qkvo_clean_2epoch_train2000,short-answer,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,71.43%,False,False,False,False,False,False,False,False,False,False,1,False,True,1,6
